"species","rec_gbif"
"Colibri coruscans","30840"
"Amazilia tzacatl","8474"
"Metallura tyrianthina","8430"
"Colibri cyanotus","8161"
"Chaetocercus mulsant","7672"
"Eriocnemis vestita","7173"
"Chalybura buffonii","6426"
"Lesbia nuna","5024"
"Lesbia victoriae","4966"
"Saucerottia cyanifrons","4383"
"Anthracothorax nigricollis","4070"
"Coeligena helianthea","3502"
"Coeligena torquata","3158"
"Ensifera ensifera","3090"
"Chlorostilbon gibsoni","2872"
"Ocreatus underwoodii","2793"
"Uranomitra franciae","2753"
"Heliangelus clarisse","2705"
"Eriocnemis cupreoventris","2640"
"Coeligena bonapartei","2528"
"Adelomyia melanogenys","2211"
"Pterophanes cyanopterus","2113"
"Phaethornis guy","2016"
"Chalcostigma heteropogon","1934"
"Aglaiocercus kingii","1931"
"Heliangelus exortis","1766"
"Aglaeactis cupripennis","1751"
"Chaetocercus heliodor","1718"
"Thalurania colombica","1707"
"Chlorostilbon poortmani","1684"
"Oxypogon guerinii","1425"
"Lafresnaya lafresnayi","1103"
"Florisuga mellivora","1090"
"Saucerottia viridigaster","1078"
"Boissonneaua flavescens","1039"
"Colibri delphinae","1010"
"Phaethornis anthophilus","945"
"Coeligena prunellei","894"
"Ramphomicron microrhynchum","893"
"Saucerottia saucerottei","769"
"Coeligena coeligena","733"
"Chrysuronia goudoti","718"
"Chrysolampis mosquitus","541"
"Campylopterus falcatus","346"
"Heliodoxa leadbeateri","318"
"Haplophaedia aureliae","232"
"Chrysuronia oenone","209"
"Phaethornis striigularis","194"
"Doryfera ludovicae","184"
"Chlorestes julie","165"
"Chionomesa fimbriata","160"
"Eriocnemis aline","160"
"Heliodoxa rubinoides","130"
"Phaethornis griseogularis","127"
"Phaethornis augusti","125"
"Glaucis hirsutus","124"
"Phaethornis syrmatophorus","111"
"Polyerata amabilis","102"
"Doryfera johannae","89"
"Eutoxeres aquila","84"
"Schistes geoffroyi","68"
"Colibri thalassinus","67"
"Phaethornis hispidus","59"
NULL,"53"
"Chlorostilbon mellisugus","51"
"Heliangelus amethysticollis","48"
"Chrysuronia versicolor","47"
"Thalurania furcata","40"
"Heliodoxa jacula","37"
"Phaethornis longirostris","33"
"Klais guimeti","25"
"Chlorostilbon melanorhynchus","23"
"Heliomaster longirostris","22"
"Opisthoprora euryptera","21"
"Chaetocercus jourdanii","20"
"Heliothryx barroti","17"
"Discosura popelairii","11"
"Lophornis stictolophus","9"
"Lophornis delattrei","5"
"Lophornis verreauxii","5"
"Phaethornis atrimentalis","4"
"Phaethornis malaris","4"
"Eriocnemis derbyi","4"
"Campylopterus largipennis","4"
"Threnetes leucurus","3"
"Coeligena lutetiae","3"
"Phaethornis longuemareus","3"
"Chlorostilbon russatus","2"
"Metallura williami","2"
"Calliphlox mitchellii","2"
"Calliphlox amethystina","2"
"Chalybura urochrysia","2"
"Saucerottia castaneiventris","2"
"Chlorostilbon stenurus","2"
"Discosura conversii","2"
"Threnetes ruckeri","2"
"Schistes albogularis","1"
"Chrysuronia coeruleogularis","1"
"Anthocephala berlepschi","1"
"Eriocnemis mosquera","1"
"Chaetocercus berlepschi","1"
"Phaethornis bourcieri","1"
"Aglaiocercus coelestis","1"
"Saucerottia edward","1"
"Urosticte ruficrissa","1"
